id,type,entry_date,exit_date,entry_price,exit_price,stop_loss,take_profit,pnl,outcome,reason
1,buy,2025-02-23 12:00:00,2025-02-23 12:15:00,3174.02,3181.963059118545,3181.963059118545,3198.7296465425457,0.0794305911854508,loss,stop_loss_hit
2,buy,2025-02-23 12:30:00,2025-02-23 13:00:00,3162.88,3166.1480625800523,3140.7725356685414,3166.1480625800523,0.03268062580052174,win,take_profit_hit
3,buy,2025-02-23 12:45:00,2025-02-23 15:30:00,3162.88,3152.931640263646,3152.931640263646,3180.2896295386204,-0.09948359736354177,loss,stop_loss_hit
4,buy,2025-02-23 14:15:00,2025-02-23 14:45:00,3175.0,3167.631976113711,3167.631976113711,3187.8940418010056,-0.07368023886288938,loss,stop_loss_hit
5,buy,2025-02-23 15:30:00,2025-02-23 15:45:00,3141.0,3152.589033860869,3152.589033860869,3172.969190743479,0.11589033860869222,loss,stop_loss_hit
6,buy,2025-02-23 15:45:00,2025-02-23 16:30:00,3140.86,3132.0826742993786,3132.0826742993786,3156.6053199760877,-0.08777325700621531,loss,stop_loss_hit
7,buy,2025-02-23 16:00:00,2025-02-23 16:30:00,3150.82,3131.0796261351375,3131.0796261351375,3157.97565426351,-0.19740373864862704,loss,stop_loss_hit
8,sell,2025-02-23 22:30:00,2025-02-23 23:15:00,3118.56,3144.28076,3144.28076,3101.1373049536637,-0.25720760000000154,loss,stop_loss_hit
9,buy,2025-02-23 23:15:00,2025-02-24 00:00:00,3152.0,3157.862442061516,3129.7928902505623,3157.862442061516,0.05862442061516049,win,take_profit_hit
10,sell,2025-02-24 00:15:00,2025-02-24 00:30:00,3160.02,3143.4346509860743,3169.497342293672,3143.4346509860743,0.1658534901392568,win,take_profit_hit
11,buy,2025-02-24 03:45:00,2025-02-24 04:00:00,3020.0,3008.0514522110707,3008.0514522110707,3053.9174586306262,-0.11948547788929319,loss,stop_loss_hit
12,sell,2025-02-24 09:15:00,2025-02-24 14:45:00,2996.47,2918.6903345441424,2996.8572,2918.6903345441424,0.7777966545585742,win,take_profit_hit
13,buy,2025-02-24 10:30:00,2025-02-24 11:45:00,2924.96,2975.1275301978003,2904.2128398869713,2975.1275301978003,0.5016753019780026,win,take_profit_hit
14,sell,2025-02-24 13:00:00,2025-02-24 14:15:00,2953.76,2942.4982074435625,3013.403881460821,2942.4982074435625,0.1126179255643774,win,take_profit_hit
15,sell,2025-02-24 14:45:00,2025-02-24 15:15:00,2901.0,2863.9546641112693,2980.43416,2863.9546641112693,0.37045335888730735,win,take_profit_hit
16,buy,2025-02-24 15:45:00,2025-02-24 19:00:00,2856.31,2825.550213793835,2825.550213793835,2938.8496258607884,-0.3075978620616479,loss,stop_loss_hit
17,sell,2025-02-24 19:15:00,2025-02-24 19:30:00,2849.64,2764.4873973132176,2877.61384,2764.4873973132176,0.8515260268678231,win,take_profit_hit
18,sell,2025-02-24 22:30:00,2025-02-24 22:45:00,2735.23,2642.9999000000003,2793.6372,2642.9999000000003,0.9223009999999977,win,take_profit_hit
19,sell,2025-02-24 22:45:00,2025-02-24 23:45:00,2623.0,2639.4969499999997,2738.2374,2639.4969499999997,-0.16496949999999744,win,take_profit_hit
20,sell,2025-02-25 06:00:00,2025-02-25 07:15:00,2618.0,2556.092,2701.7760000000003,2556.092,0.6190799999999991,win,take_profit_hit
21,sell,2025-02-25 06:45:00,2025-02-25 07:15:00,2594.45,2536.9656999999997,2636.25952,2536.9656999999997,0.5748430000000008,win,take_profit_hit
22,sell,2025-02-25 09:00:00,2025-02-25 11:45:00,2570.01,2591.096,2591.096,2489.74825,-0.21085999999999785,loss,stop_loss_hit
23,sell,2025-02-25 09:30:00,2025-02-25 11:45:00,2540.0,2589.85464,2589.85464,2431.7999999999997,-0.49854640000000017,loss,stop_loss_hit
24,sell,2025-02-25 11:00:00,2025-02-25 11:45:00,2571.31,2616.0552000000002,2616.0552000000002,2474.9934000000003,-0.44745200000000296,loss,stop_loss_hit
25,sell,2025-02-25 11:15:00,2025-02-25 11:45:00,2529.22,2622.7362,2622.7362,2481.3141499999997,-0.9351620000000003,loss,stop_loss_hit
26,sell,2025-02-25 11:45:00,2025-02-25 12:00:00,2647.66,2625.0618000000004,2625.0618000000004,2483.51435,0.22598199999999452,loss,stop_loss_hit
